429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
831,440,28/3/2020,6:00 PM,Punjab,38,0,1,1,38
705,272,22/3/2020,6:00 PM,Bihar,2,0,0,1,2
415,11,9/2/2020,6:00 PM,Kerala,3,0,0,0,3
509,52,6/3/2020,6:00 PM,Delhi,3,0,0,0,3
738,307,23/3/2020,6:00 PM,Punjab,21,0,0,1,21
87,74,9/3/2020,6:00 PM,Ladakh,2,0,0,0,2
937,54,6/3/2020,6:00 PM,Kerala,3,0,3,0,3
975,51,5/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
17,342,25/3/2020,6:00 PM,Bihar,4,0,0,1,4
828,359,25/3/2020,6:00 PM,Telengana,25,10,1,0,35
215,198,18/3/2020,6:00 PM,Maharashtra,39,3,0,1,42
365,156,15/3/2020,6:00 PM,Rajasthan,2,2,3,0,4
917,105,11/3/2020,6:00 PM,Ladakh,2,0,0,0,2
496,314,23/3/2020,6:00 PM,Uttar Pradesh,30,1,9,0,31
154,374,26/3/2020,6:00 PM,Haryana,16,14,11,0,30
479,311,23/3/2020,6:00 PM,Chandigarh,6,0,0,0,6
219,336,24/3/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
361,319,24/3/2020,6:00 PM,Chhattisgarh,1,0,0,0,1
111,142,14/3/2020,6:00 PM,Ladakh,3,0,0,0,3
180,85,9/3/2020,6:00 PM,Delhi,4,0,0,0,4
782,42,4/3/2020,6:00 PM,Haryana,0,2,0,0,2
552,65,7/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
427,424,28/3/2020,6:00 PM,Chhattisgarh,6,0,0,0,6
503,18,16/2/2020,6:00 PM,Kerala,3,0,0,0,3
379,120,12/3/2020,6:00 PM,Karnataka,4,0,0,0,4
242,419,27/3/2020,10:00 AM,West Bengal,10,0,0,1,10
573,382,26/3/2020,6:00 PM,Manipur,1,0,0,0,1
890,426,28/3/2020,6:00 PM,Goa,3,0,0,0,3
863,384,26/3/2020,6:00 PM,Odisha,2,0,0,0,2
298,21,19/2/2020,6:00 PM,Kerala,3,0,0,0,3
412,104,11/3/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9
204,356,25/3/2020,6:00 PM,Punjab,29,0,0,1,29
1000,199,18/3/2020,6:00 PM,Odisha,1,0,0,0,1
392,304,23/3/2020,6:00 PM,Maharashtra,71,3,0,2,74
527,333,24/3/2020,6:00 PM,Tamil Nadu,13,2,1,0,15
357,353,25/3/2020,6:00 PM,Mizoram,1,0,0,0,1
830,200,18/3/2020,6:00 PM,Puducherry,1,0,0,0,1
515,373,26/3/2020,6:00 PM,Gujarat,42,1,0,3,43
389,313,23/3/2020,6:00 PM,Ladakh,13,0,0,0,13
